id,TIME,Gender,Age,MarStat,Role,SportBack,SpHis,SpLevel,SportExp,PRO_1,PRO_2,PRO_3,PRO_4,PRO_5,PRO_6,PRO_7,PRAT_,PGR_1,PGR_2,PGR_3,PGR_4,PGR_5,PGR_6,PGR_7,PGR_8,PGR_9,PGRT_,StressA_1,StressA_2,StressA_3,StressA_4,SACST_,StressA_5,StressA_6,StressA_7,StressA_8,SATT_,StressA_9,StressA_10,StressA_11,StressA_12,SACENT_,StressA_13,StressA_14,StressA_15,StressA_16,SAUNCT_,StressA_17,StressA_18,StressA_19,StressA_20,SACOT_,StressA_21,StressA_22,StressA_23,StressA_24,SACHT_,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PAT_,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,NAT_,ABALT_,CD25_1,CD25_2,CD25_3,CD25_4,CD25_5,CD25_6,CD25_7,CD25_8,CD25_9,CD25_10,CD25_11,CD25_12,CD25_13,CD25_14,CD25_15,CD25_16,CD25_17,CD25_18,CD25_19,CD25_20,CD25_21,CD25_22,CD25_23,CD25_24,CD25_25,REST_,PCQ_1,PCQ_2,PCQ_3,PCQ_4,PCQ_5,PCQ_6,PCSET_,PCQ_7,PCQ_8,PCQ_9,PCQ_10,PCQ_11,PCQ_12,PCHOPET_,PCQ_13,PCQ_14,PCQ_15,PCQ_16,PCQ_17,PCQ_18,PCREST_,PCQ_19,PCQ_20,PCQ_21,PCQ_22,PCQ_23,PCQ_24,PCOPT_,DHUS_1_1,DHUS_1_2,DHUS_1_3,DHUS_1_4,DHUS_1_5,DHUS_1_6,DHUS_1_7,DHUS_1_8,DHUS_1_9,DHUS_1_10,DHUS_1_11,DHUS_1_12,DHUS_1_13,DHUS_1_14,DHUS_1_15,DHUS_1_16,DHUS_1_17,DHUS_1_18,DHUS_1_19,DHUS_1_20,DHUS_1_21,DHUS_1_22,DHUS_1_23,DHUS_1_24,DHUS_1_25,DHUS_1_26,DHUS_1_27,DHUS_1_28,DHUS_1_29,DHUS_1_30,DHUS_1_31,DHUS_1_32,DHUS_1_33,DHUS_1_34,DHUS_1_35,DHUS_1_36,DHUS_1_37,DHUS_1_38,DHUS_1_39,DHUS_1_40,DHUS_1_41,DHUS_1_42,DHAST_,DHUS_2_1,DHUS_2_2,DHUS_2_3,DHUS_2_4,DHUS_2_5,DHUS_2_6,DHUS_2_7,DHUS_2_8,DHUS_2_9,DHUS_2_10,DHUS_2_11,DHUS_2_12,DHUS_2_13,DHUS_2_14,DHUS_2_15,DHUS_2_16,DHUS_2_17,DHUS_2_18,DHUS_2_19,DHUS_2_20,DHUS_2_21,DHUS_2_22,DHUS_2_23,DHUS_2_24,DHUS_2_25,DHUS_2_26,DHUS_2_27,DHUS_2_28,DHUS_2_29,DHUS_2_30,DHUS_2_31,DHUS_2_32,DHUS_2_33,DHUS_2_34,DHUS_2_35,DHUS_2_36,DHUS_2_37,DHUS_2_38,DHUS_2_39,DHUS_2_40,DHUS_2_41,DHUS_2_42,DUPT_,MLE,UpLift,DERS_1,DERS_2,DERS_3,DERS_4,DERS_5,REGGBT_,DERS_6,DERS_7,DERS_8,DERS_9,DERS_10,DERS_11,DERS_12,DERS_13,REGST_
1,1,1,52,2,1,1,1,3,5,4,5,5,5,4,4,4,4.428571429,3,4,4,3,2,3,3,1,4,3,4,4,5,5,4.5,2,4,1,2,2.25,4,4,3,4,3.75,1,2,1,2,1.5,5,5,5,4,4.75,3,4,4,4,3.75,4,3,4,4,2,4,3,5,5,4,3.8,1,1,1,2,1,1,1,2,2,2,1.4,2.4,3,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,4,5,3,5,5,5,4,1,2,4.28,6,6,6,6,6,5,5.833333333,5,5,6,5,4,5,5,3,6,6,5,6,4,24,5,5,5,2,5,2,4,3,3,1,2,2,3,2,2,3,3,3,3,3,2,4,2,3,3,3,2,2,3,2,2,2,2,2,1,2,3,3,3,2,3,2,2,2,2,1,1,3,3,2.380952381,5,2,1,5,4,2,4,4,3,4,4,3,3,4,4,5,5,4,4,2,4,3,3,3,2,4,2,1,4,2,5,4,3,4,4,5,4,4,1,1,4,4,3.404761905,2,,2,2,1,2,1,6,1,2,1,2,1,4,2,2,15
1,3,1,52,2,1,1,1,3,5,4,5,4,5,4,5,3,4.285714286,3,3,3,4,4,3,2,3,4,3.222222222,4,4,5,5,4.5,3,4,1,1,2.25,1,3,3,1,2,1,1,1,1,1,4,4,5,4,4.25,4,4,4,4,4,5,4,4,5,4,4,4,5,5,5,4.5,1,1,1,2,1,2,1,2,2,2,1.5,3,4,4,5,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,1,1,3.64,5,6,4,6,5,6,5.333333333,5,4,5,5,5,5,4.833333333,4,6,6,4,6,3,21,5,4,5,2,4,1,3.5,3,3,2,2,2,4,3,2,2,4,3,4,4,2,5,3,4,2,3,1,2,3,2,3,3,2,3,1,2,3,3,3,3,3,3,2,2,3,1,1,3,3,2.666666667,5,3,2,5,4,2,4,3,4,4,3,3,2,4,5,4,4,4,4,1,3,3,2,4,2,4,4,1,4,2,5,3,4,3,3,4,4,4,1,1,4,3,3.285714286,2,,1,2,1,2,5,1,1,2,2,3,3,4,1,2,18
1,4,1,52,2,1,1,1,3,5,4,4,4,4,5,4,4,4.142857143,4,4,4,5,3,3,3,4,2,3.555555556,4,4,4,3,3.75,3,4,3,2,3,4,3,4,3,3.5,1,2,1,1,1.25,3,3,4,3,3.25,3,4,2,4,3.25,5,5,4,4,2,5,4,5,4,4,4.2,3,1,1,3,1,2,1,4,4,3,2.3,1.9,4,4,5,3,3,3,5,4,3,2,4,5,4,3,3,4,3,5,3,4,4,4,3,1,2,3.52,6,6,4,5,5,6,5.333333333,5,4,5,5,5,5,4.833333333,3,5,5,4,4,4,19,3,4,5,2,3,1,3,3,4,2,2,2,3,3,2,3,2,3,4,3,2,4,3,3,3,3,1,2,2,2,2,3,2,2,1,2,2,3,3,3,3,3,3,2,2,1,1,3,2,2.476190476,5,2,2,5,4,2,3,2,3,3,3,3,3,3,4,5,5,5,4,1,3,2,2,4,2,4,2,1,3,2,4,4,4,4,4,4,4,4,1,1,3,2,3.119047619,2,,,,,,,0,,,,,,,,,0
2,1,1,36,1,1,1,1,4,5,5,4,5,4,4,4,4,4.285714286,4,5,5,5,5,3,4,4,5,4.444444444,4,5,5,4,4.5,1,1,1,1,1,4,1,1,2,2,1,1,3,1,1.5,5,5,5,5,5,3,4,5,5,4.25,5,3,4,4,4,5,3,4,5,4,4.1,1,1,2,1,1,2,1,1,1,1,1.2,2.9,5,5,5,5,5,5,5,3,5,5,4,4,3,5,5,4,5,5,4,3,5,5,5,5,5,4.6,5,6,6,5,1,6,4.833333333,5,3,6,4,5,5,4.666666667,1,5,6,1,2,5,18,6,3,6,2,5,1,3.833333333,1,4,4,1,4,5,4,2,2,2,2,2,3,2,2,4,5,4,5,1,5,3,3,2,2,2,4,1,2,2,2,2,4,3,2,2,2,2,2,1,2,3,2.666666667,1,1,2,2,2,2,2,5,3,3,5,3,3,4,3,2,2,2,2,1,2,3,3,1,1,3,2,1,3,2,2,2,2,2,1,3,4,3,3,1,3,3,2.380952381,2,,2,2,1,2,2,5,1,2,1,1,1,5,2,1,14
2,2,1,36,1,1,1,1,4,5,4,4,5,3,3,5,3,3.857142857,4,4,5,4,5,3,4,3,4,4,4,5,4,4,4.25,1,1,2,2,1.5,4,2,1,2,2.25,1,1,2,1,1.25,2,1,4,4,2.75,4,4,4,4,4,5,4,5,4,3,5,3,4,4,4,4.1,1,1,2,1,1,2,1,2,1,1,1.3,2.8,4,5,5,5,4,5,5,3,4,5,4,5,3,4,4,4,5,5,5,4,4,4,4,4,4,4.32,4,5,4,5,1,5,4,4,4,5,4,3,4,4,2,5,6,5,5,5,24,5,5,6,3,4,2,4.166666667,1,2,2,1,2,4,2,2,3,2,2,2,2,2,3,5,5,5,5,4,5,3,2,3,2,2,2,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,2.476190476,1,2,2,1,3,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,1,3,3,2,2,2,2,2,3,4,3,1,1,4,3,2.285714286,2,,2,2,1,2,2,5,1,1,1,1,1,4,1,2,12
2,3,1,36,1,1,1,1,4,5,4,4,4,3,3,3,3,3.428571429,3,2,4,3,4,4,3,4,4,3.444444444,4,4,4,3,3.75,1,1,2,1,1.25,3,2,1,1,1.75,1,3,1,2,1.75,4,4,3,4,3.75,3,3,4,3,3.25,5,4,3,4,4,5,3,5,4,2,3.9,1,1,2,1,1,1,1,1,1,1,1.1,2.8,3,4,5,4,5,4,4,3,4,4,4,4,3,4,3,4,4,5,4,5,4,5,4,3,4,4,5,6,5,6,1,5,4.666666667,5,4,5,4,4,4,4.333333333,2,5,6,5,5,5,24,4,5,4,2,5,1,3.5,1,2,2,1,2,4,4,2,3,2,2,2,2,3,2,5,5,4,5,1,4,4,2,2,2,2,2,1,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2.428571429,1,2,2,1,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,1,3,2,2.095238095,2,,2,2,2,2,2,6,1,1,1,1,1,4,1,2,12
2,4,1,36,1,1,1,1,4,5,4,4,4,3,3,4,3,3.571428571,3,3,4,4,4,3,3,4,4,3.555555556,4,4,4,4,4,1,2,3,3,2.25,3,3,3,3,3,1,1,1,2,1.25,4,4,4,4,4,3,3,4,3,3.25,4,3,4,5,3,4,4,4,5,4,4,1,1,2,1,1,2,1,1,1,1,1.2,2.8,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,3,3,4.08,4,5,5,5,1,3,3.833333333,5,6,5,6,5,5,5.333333333,1,5,6,5,5,5,25,5,5,5,1,5,2,3.833333333,1,2,2,1,2,4,4,2,2,2,2,2,2,3,2,5,5,5,5,3,4,3,2,2,2,2,2,1,2,2,2,2,3,3,2,2,2,2,2,1,2,3,2.476190476,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2,2,4,3,3,2,1,3,2,2.095238095,2,,2,2,1,2,5,2,1,1,1,1,1,5,2,2,14
3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
4,1,1,44,2,1,1,1,4,4,5,4,5,5,4,5,4,4.571428571,4,4,5,5,4,5,5,4,5,4.555555556,5,5,4,4,4.5,3,3,2,2,2.5,4,2,3,4,3.25,1,2,1,2,1.5,5,4,4,4,4.25,4,4,5,3,4,5,5,4,4,5,5,5,5,4,5,4.7,1,2,1,1,3,3,1,2,1,1,1.6,3.1,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,5,4,5,5,4,4,5,5,4,4,4.64,6,6,6,6,6,5,5.833333333,6,5,6,5,5,6,5.5,1,6,6,6,6,6,29,5,4,5,3,4,1,3.666666667,2,2,2,2,2,3,2,2,3,3,2,3,4,2,3,2,2,2,2,3,3,2,1,2,3,3,2,1,2,3,3,2,3,2,2,3,2,2,3,2,2,2,2.333333333,5,5,5,5,4,4,4,4,3,3,5,4,3,5,4,4,4,4,3,3,3,4,1,5,3,4,4,1,3,3,3,5,3,4,3,4,5,5,3,4,5,4,3.80952381,2,,2,1,1,2,5,1,1,2,1,1,1,5,1,2,14
4,2,1,44,2,1,1,1,4,4,4,4,5,4,4,5,4,4.285714286,4,5,5,5,4,5,4,4,5,4.555555556,5,5,5,4,4.75,2,1,2,2,1.75,4,4,3,3,3.5,1,2,1,1,1.25,4,5,5,4,4.5,5,4,4,4,4.25,5,5,4,5,5,5,5,5,5,5,4.9,1,1,1,1,2,4,1,3,1,1,1.6,3.3,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,5,3,4,4.64,6,6,6,6,6,6,6,6,6,6,6,5,5,5.666666667,1,6,6,6,5,6,28,6,4,5,2,5,1,3.833333333,2,2,2,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,1,2,3,1,2,3,3,2,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2.166666667,5,5,4,5,5,5,5,4,3,3,4,4,3,5,4,4,4,4,3,1,3,2,1,5,4,4,3,1,2,2,3,3,2,3,4,3,5,5,1,3,4,4,3.5,2,,2,2,1,2,5,2,1,2,1,1,1,5,1,1,13
