id,TIME,Gender,Age,MarStat,Role,SportBack,SpHis,SpLevel,SportExp,PRAT_,PGRT_,SACST_,SATT_,SACENT_,SAUNCT_,SACOT_,SACHT_,PAT_,NAT_,ABALT_,REST_,PCSET_,PCHOPET_,PCREST_,PCOPT_,DHAST_,DUPT_,MLE,UpLift,REGGBT_,REGST_
1,1,1,52,2,1,1,1,3,5,4.428571429,3,4.5,2.25,3.75,1.5,4.75,3.75,3.8,1.4,2.4,4.28,5.833333333,5,24,4,2.380952381,3.404761905,2,,6,15
1,3,1,52,2,1,1,1,3,5,4.285714286,3.222222222,4.5,2.25,2,1,4.25,4,4.5,1.5,3,3.64,5.333333333,4.833333333,21,3.5,2.666666667,3.285714286,2,,1,18
1,4,1,52,2,1,1,1,3,5,4.142857143,3.555555556,3.75,3,3.5,1.25,3.25,3.25,4.2,2.3,1.9,3.52,5.333333333,4.833333333,19,3,2.476190476,3.119047619,2,,0,0
2,1,1,36,1,1,1,1,4,5,4.285714286,4.444444444,4.5,1,2,1.5,5,4.25,4.1,1.2,2.9,4.6,4.833333333,4.666666667,18,3.833333333,2.666666667,2.380952381,2,,5,14
2,2,1,36,1,1,1,1,4,5,3.857142857,4,4.25,1.5,2.25,1.25,2.75,4,4.1,1.3,2.8,4.32,4,4,24,4.166666667,2.476190476,2.285714286,2,,5,12
2,3,1,36,1,1,1,1,4,5,3.428571429,3.444444444,3.75,1.25,1.75,1.75,3.75,3.25,3.9,1.1,2.8,4,4.666666667,4.333333333,24,3.5,2.428571429,2.095238095,2,,6,12
2,4,1,36,1,1,1,1,4,5,3.571428571,3.555555556,4,2.25,3,1.25,4,3.25,4,1.2,2.8,4.08,3.833333333,5.333333333,25,3.833333333,2.476190476,2.095238095,2,,2,14
4,1,1,44,2,1,1,1,4,4,4.571428571,4.555555556,4.5,2.5,3.25,1.5,4.25,4,4.7,1.6,3.1,4.64,5.833333333,5.5,29,3.666666667,2.333333333,3.80952381,2,,1,14
4,2,1,44,2,1,1,1,4,4,4.285714286,4.555555556,4.75,1.75,3.5,1.25,4.5,4.25,4.9,1.6,3.3,4.64,6,5.666666667,28,3.833333333,2.166666667,3.5,2,,2,13
4,3,1,44,2,1,1,1,4,4,4.571428571,4.111111111,4.5,2,3.75,1.5,4.75,4.5,4.6,1.3,3.3,4.48,6,5.333333333,28,3.666666667,2.166666667,3.404761905,,,4,12
4,4,1,44,2,1,1,1,4,4,4.428571429,4.333333333,4.5,2.5,4.75,1.75,4.25,4.5,5,1.9,3.1,4.56,6,5.166666667,27,3.5,2.095238095,3.428571429,2,,3,13
5,1,1,24,1,2,1,1,3,4,3.428571429,3.222222222,3.75,1.75,1.75,1.25,3.75,3,2.7,1.8,0.9,2.4,3.166666667,3.833333333,10,3.333333333,2.404761905,2.5,1,,13,19
5,2,1,24,1,2,1,1,3,4,3.428571429,3.777777778,3.5,3,2.5,2.75,3.25,3,2.2,2.2,0,2.84,3.166666667,2.5,16,3,2.19047619,2.69047619,1,,11,18
5,3,1,24,1,2,1,1,3,4,3.571428571,3,3.75,3.75,2,2,2,2.25,2.4,2.2,0.2,2.6,3,2.5,15,3.666666667,2.642857143,2.904761905,1,Not dying.,9,20
5,4,1,24,1,2,1,1,3,4,3.857142857,3.222222222,3.5,2.75,2,1.5,3.75,2.75,2.4,1.8,0.6,3.08,4.166666667,3.5,14,4,2.904761905,3.19047619,1,,10,23
6,1,2,32,2,2,1,2,,,4,3.555555556,3.75,2.75,3,1.5,3.5,4.25,4.1,1.5,2.6,4.48,4,4.833333333,22,4,2.071428571,2.714285714,2,,2,12
6,2,2,32,2,2,1,2,,,3.571428571,3.444444444,4,1.75,2.5,1,3.5,3.5,3.3,1.3,2,4.2,3.166666667,4.5,22,3.666666667,2.357142857,2.952380952,2,,0,12
6,3,2,32,2,2,1,2,,,3.857142857,3,4,1.5,2.25,1,3.75,4,3.3,1.2,2.1,3.76,3.833333333,5,22,3.833333333,2.285714286,3.119047619,,,3,13
6,4,2,32,2,2,1,2,,,3.857142857,2.888888889,4,1.25,2.25,1,4,4,3.8,1.3,2.5,3.92,3.333333333,5,23,3.666666667,2.357142857,3.357142857,2,,4,13
7,1,2,36,2,1,1,1,5,5,4.142857143,4.111111111,4.25,2.5,3.5,2.75,4,4.25,4,1.5,2.5,4.28,5.166666667,5,20,4,2.595238095,2.904761905,1,Getting Outdoors exercise even walking around the campus on a work errand helps to uplift my mood during workday!,-1,13
7,2,2,36,2,1,1,1,5,5,5,4.111111111,4,2.5,3,2.5,3,4,3.7,1.1,2.6,4.68,4.833333333,5.166666667,19,4.166666667,2.785714286,3,2,,4,14
7,3,2,36,2,1,1,1,5,5,4.714285714,3.777777778,4.5,1.75,1.75,2,3.5,4.5,4.1,1.2,2.9,4.2,6,6,27,4.5,2.761904762,2.857142857,1,,7,13
7,4,2,36,2,1,1,1,5,5,4.857142857,4.222222222,3.5,2.25,3,2.5,3.5,3.5,3.6,1.1,2.5,4.12,5,5.166666667,23,4.333333333,2.738095238,3,2,,-1,11
8,1,1,39,1,2,1,2,,,1,2.666666667,3,1.5,1.5,1.25,2.75,3,4.4,1.5,2.9,4.24,3,3,12,3,2.142857143,4.357142857,2,no,4,11
8,2,1,39,1,2,1,2,,,2.857142857,4.222222222,4,3.5,3.5,4,4,4,4.1,1.3,2.8,5,5.333333333,5.833333333,20,5.666666667,2.023809524,4.404761905,2,,6,12
8,3,1,39,1,2,1,2,,,4,4.444444444,4.75,1.25,2.5,1,4.25,4.5,4.5,1.2,3.3,4.48,5,5.333333333,22,5,1.928571429,4.452380952,2,,2,14
8,4,1,39,1,2,1,2,,,4.285714286,4.333333333,5,2.5,4.25,1.75,5,5,4.4,1.5,2.9,4.52,5.833333333,5.666666667,23,4,2.023809524,4.357142857,2,,4,14
9,1,2,48,1,2,1,1,2,3,4.285714286,3.333333333,3.5,2.5,3,2,2.5,3.25,3.1,1.3,1.8,3.56,4.5,4,19,4,3.023809524,2.238095238,1,,5,21
9,2,2,48,1,2,1,1,2,3,4,3.888888889,4.75,3,3.75,2.25,3,3.5,4.3,1.6,2.7,3.6,5.666666667,4.666666667,23,4.333333333,3.357142857,2.547619048,1,,3,18
